epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,322.383,1.07902,0.68204,1.13725,0.84096,0.86504,0.87441,0.50476,1.36478,0.70971,1.27288,0.000226497,0.000226497,0.000226497
87,325.148,1.06549,0.66869,1.12323,0.84012,0.83999,0.85904,0.49866,1.38119,0.70737,1.28195,0.000212349,0.000212349,0.000212349
88,327.944,1.07044,0.66672,1.1327,0.82873,0.84968,0.86292,0.5004,1.37095,0.70477,1.28046,0.000198202,0.000198202,0.000198202
89,330.713,1.07014,0.67522,1.13182,0.8627,0.86068,0.87213,0.5031,1.36884,0.69796,1.27906,0.000184055,0.000184055,0.000184055
90,333.549,1.07394,0.68064,1.13449,0.85431,0.83614,0.86927,0.50261,1.36816,0.70128,1.27508,0.000169908,0.000169908,0.000169908
91,337.487,1.03844,0.62952,1.12988,0.84491,0.8456,0.87039,0.50227,1.38056,0.70275,1.29039,0.000155761,0.000155761,0.000155761
92,340.436,1.04107,0.58835,1.12117,0.83885,0.8643,0.86518,0.49462,1.37958,0.70446,1.29303,0.000141614,0.000141614,0.000141614
93,343.271,1.02565,0.58449,1.12342,0.84289,0.84447,0.87101,0.49564,1.38442,0.69777,1.29049,0.000127467,0.000127467,0.000127467
94,346.231,1.00701,0.57059,1.11739,0.84135,0.84064,0.8672,0.49733,1.37787,0.70109,1.28752,0.00011332,0.00011332,0.00011332
95,349.07,1.01943,0.57457,1.1239,0.83941,0.85163,0.8679,0.4983,1.375,0.70184,1.28601,9.91726e-05,9.91726e-05,9.91726e-05
96,352.207,1.00849,0.57328,1.11578,0.83104,0.85131,0.86868,0.49928,1.38184,0.69896,1.28999,8.50255e-05,8.50255e-05,8.50255e-05
97,355.41,1.00152,0.56429,1.11437,0.8504,0.85425,0.8775,0.50344,1.38338,0.69799,1.2902,7.08784e-05,7.08784e-05,7.08784e-05
98,358.512,1.00796,0.56176,1.10902,0.83442,0.85424,0.86842,0.50332,1.37419,0.69671,1.28675,5.67313e-05,5.67313e-05,5.67313e-05
99,361.574,1.0034,0.55787,1.11117,0.83265,0.86422,0.87067,0.50207,1.37408,0.69751,1.28866,4.25842e-05,4.25842e-05,4.25842e-05
100,364.31,1.0021,0.55873,1.10916,0.82394,0.86443,0.86612,0.50299,1.37743,0.6954,1.28846,2.84371e-05,2.84371e-05,2.84371e-05
